id_offer,id_resume,score,details,normalized
1829192,15375009,41.48,"{'education': 6.04, 'experience': 20.0, 'languages': 10, 'technical_skills': 1.45, 'soft_skills': 0.83, 'availability': 0, 'location': 2.0, 'job_description': 1.16}","{'education': 40.27, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 7.25, 'soft_skills': 4.15, 'availability': 0.0, 'location': 40.0, 'job_description': 23.2}"
1829192,11847784,37.18,"{'education': 3.67, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.7, 'soft_skills': 0.6, 'availability': 0, 'location': 1.0, 'job_description': 1.21}","{'education': 24.47, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 3.5, 'soft_skills': 3.0, 'availability': 0.0, 'location': 20.0, 'job_description': 24.2}"
1829192,32896934,42.56,"{'education': 3.36, 'experience': 20.0, 'languages': 10, 'technical_skills': 1.81, 'soft_skills': 5.53, 'availability': 0, 'location': 1.0, 'job_description': 0.86}","{'education': 22.4, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 9.05, 'soft_skills': 27.65, 'availability': 0.0, 'location': 20.0, 'job_description': 17.2}"
10998357,16852973,57.27,"{'education': 15.0, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.64, 'soft_skills': 8.52, 'availability': 0, 'location': 1.0, 'job_description': 2.11}","{'education': 100.0, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 3.2, 'soft_skills': 42.6, 'availability': 0.0, 'location': 20.0, 'job_description': 42.2}"
23221523,16852973,35.66,"{'education': 1.18, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.04, 'soft_skills': 1.13, 'availability': 0, 'location': 1.0, 'job_description': 2.31}","{'education': 7.87, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 0.2, 'soft_skills': 5.65, 'availability': 0.0, 'location': 20.0, 'job_description': 46.2}"
35982263,16852973,45.11,"{'education': 2.68, 'experience': 20.0, 'languages': 10, 'technical_skills': 1.5, 'soft_skills': 8.55, 'availability': 0, 'location': 1.0, 'job_description': 1.38}","{'education': 17.87, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 7.5, 'soft_skills': 42.75, 'availability': 0.0, 'location': 20.0, 'job_description': 27.6}"
91700727,16852973,34.13,"{'education': 1.89, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.03, 'soft_skills': 0.05, 'availability': 0, 'location': 1.0, 'job_description': 1.16}","{'education': 12.6, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 0.15, 'soft_skills': 0.25, 'availability': 0.0, 'location': 20.0, 'job_description': 23.2}"
103254301,16852973,54.12,"{'education': 5.27, 'experience': 20.0, 'languages': 10, 'technical_skills': 8.13, 'soft_skills': 8.55, 'availability': 0, 'location': 1.0, 'job_description': 1.17}","{'education': 35.13, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 40.65, 'soft_skills': 42.75, 'availability': 0.0, 'location': 20.0, 'job_description': 23.4}"
112576855,16852973,28.95,"{'education': 3.15, 'experience': 20.0, 'languages': 0.0, 'technical_skills': 2.47, 'soft_skills': 0.95, 'availability': 0, 'location': 1.0, 'job_description': 1.38}","{'education': 21.0, 'experience': 100.0, 'languages': 0.0, 'technical_skills': 12.35, 'soft_skills': 4.75, 'availability': 0.0, 'location': 20.0, 'job_description': 27.6}"
1218575,16852973,36.8,"{'education': 1.89, 'experience': 20.0, 'languages': 10, 'technical_skills': 1.17, 'soft_skills': 1.3, 'availability': 0, 'location': 1.0, 'job_description': 1.44}","{'education': 12.6, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 5.85, 'soft_skills': 6.5, 'availability': 0.0, 'location': 20.0, 'job_description': 28.8}"
2264355,16852973,39.49,"{'education': 5.27, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.27, 'soft_skills': 1.85, 'availability': 0, 'location': 1.0, 'job_description': 1.1}","{'education': 35.13, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 1.35, 'soft_skills': 9.25, 'availability': 0.0, 'location': 20.0, 'job_description': 22.0}"
10998357,22323967,55.66,"{'education': 1.37, 'experience': 20.0, 'languages': 10, 'technical_skills': 1.06, 'soft_skills': 10.25, 'availability': 10, 'location': 1.0, 'job_description': 1.98}","{'education': 9.13, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 5.3, 'soft_skills': 51.25, 'availability': 100.0, 'location': 20.0, 'job_description': 39.6}"
23221523,22323967,40.81,"{'education': 4.92, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.5, 'soft_skills': 3.0, 'availability': 0, 'location': 1.0, 'job_description': 1.39}","{'education': 32.8, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 2.5, 'soft_skills': 15.0, 'availability': 0.0, 'location': 20.0, 'job_description': 27.8}"
35982263,22323967,49.78,"{'education': 0.58, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.88, 'soft_skills': 5.11, 'availability': 10, 'location': 1.0, 'job_description': 2.21}","{'education': 3.87, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 4.4, 'soft_skills': 25.55, 'availability': 100.0, 'location': 20.0, 'job_description': 44.2}"
91700727,22323967,56.48,"{'education': 11.19, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.21, 'soft_skills': 3.17, 'availability': 10, 'location': 1.0, 'job_description': 0.91}","{'education': 74.6, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 1.05, 'soft_skills': 15.85, 'availability': 100.0, 'location': 20.0, 'job_description': 18.2}"
103254301,22323967,54.46,"{'education': 1.7, 'experience': 20.0, 'languages': 10, 'technical_skills': 5.74, 'soft_skills': 5.11, 'availability': 10, 'location': 1.0, 'job_description': 0.91}","{'education': 11.33, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 28.7, 'soft_skills': 25.55, 'availability': 100.0, 'location': 20.0, 'job_description': 18.2}"
112576855,22323967,44.63,"{'education': 5.1, 'experience': 20.0, 'languages': 0.0, 'technical_skills': 2.44, 'soft_skills': 3.92, 'availability': 10, 'location': 1.0, 'job_description': 2.17}","{'education': 34.0, 'experience': 100.0, 'languages': 0.0, 'technical_skills': 12.2, 'soft_skills': 19.6, 'availability': 100.0, 'location': 20.0, 'job_description': 43.4}"
1218575,22323967,48.32,"{'education': 11.19, 'experience': 20.0, 'languages': 10, 'technical_skills': 1.85, 'soft_skills': 2.24, 'availability': 0, 'location': 1.0, 'job_description': 2.04}","{'education': 74.6, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 9.25, 'soft_skills': 11.2, 'availability': 0.0, 'location': 20.0, 'job_description': 40.8}"
2264355,22323967,47.18,"{'education': 1.7, 'experience': 20.0, 'languages': 10, 'technical_skills': 0.25, 'soft_skills': 3.34, 'availability': 10, 'location': 1.0, 'job_description': 0.89}","{'education': 11.33, 'experience': 100.0, 'languages': 100.0, 'technical_skills': 1.25, 'soft_skills': 16.7, 'availability': 100.0, 'location': 20.0, 'job_description': 17.8}"
